Property,,,,,,,,,,,,,,,
id,NAME,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,availability 365,house_rules,license
1001254,Clean & quiet apt home by the park,FALSE,strict,Private room,2020,$966 ,$193 ,10,9,10/19/2021,0.21,4,286,Clean up and treat the home the way you'd like your home to be treated.  No smoking.,
1002102,Skylit Midtown Castle,FALSE,moderate,Entire home/apt,2007,$142 ,$28 ,30,45,5/21/2022,0.38,4,228,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,
1002403,THE VILLAGE OF HARLEM....NEW YORK !,TRUE,flexible,Private room,2005,$620 ,$124 ,3,0,,,5,352,"I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first time. If you do it again, and you wake up me or the neighbors downstairs, we will be annoyed.  (Just so you know . . . )",
1002755,,TRUE,moderate,Entire home/apt,2005,$368 ,$74 ,30,270,07-05-19,4.64,4,322,,
,,,,,,,,,,,,,,,
Host,,,,,,,,,,,,,,,
host id,host_identity_verified,host name,calculated host listings count,,,,,,,,,,,,
80014485718,unconfirmed,Madaline,6,,,,,,,,,,,,
52335172823,verified,Jenna,2,,,,,,,,,,,,
78829239556,,Elise,1,,,,,,,,,,,,
85098326012,unconfirmed,Garry,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Address,,,,,,,,,,,,,,,
lat,long,neighbourhood group,neighbourhood,country,country code,,,,,,,,,,
40.64749,-73.97237,Brooklyn,Kensington,United States,US,,,,,,,,,,
40.75362,-73.98377,Manhattan,Midtown,United States,US,,,,,,,,,,
40.80902,-73.9419,Manhattan,Harlem,United States,US,,,,,,,,,,
40.68514,-73.95976,Brooklyn,Clinton Hill,United States,US,,,,,,,,,,
